family,count,chance,mean_reported,mean_confidence,correct,accuracy,accuracy_wilson_low,accuracy_wilson_high,brier,uniform_brier
die_numeric,400,0.16666666666666666,0.82855,0.795825,76,0.19,0.15457385084236502,0.2313237716448988,1.328424484389348,0.8333333333333334
die_colored,200,0.16666666666666666,0.76365,0.7168,32,0.16,0.1156741203158702,0.21714070162067106,1.2732582142638507,0.8333333333333334
spinner4,200,0.25,0.9018,0.86985,53,0.265,0.2086815414710911,0.3301757619262242,1.293563,0.75
coin,200,0.5,0.92015,0.8392499999999999,104,0.52,0.4510378507281424,0.588208336216767,0.8219230000000001,0.5
