stated_probability,count_per_type,choice_mean,noul_mean
0.05,12,0.015,0.0975
0.1,12,0.015833333333333335,0.135
0.2,12,0.0225,0.20583333333333334
0.3,12,0.03166666666666667,0.26416666666666666
0.4,12,0.05,0.32
0.45,12,0.06583333333333334,0.3616666666666667
0.5,12,0.295,0.43
0.55,12,0.9591666666666666,0.4666666666666667
0.6,12,0.9733333333333333,0.5033333333333333
0.7,12,0.9816666666666667,0.5441666666666667
0.8,12,0.9866666666666667,0.6433333333333333
0.9,12,0.99,0.7033333333333334
0.95,12,0.9916666666666667,0.7591666666666667
